gene_especie_A,gene_especie_B,evalue_A_para_B,evalue_B_para_A
NP_417775.1,WP_005539416.1,8.73066e-61,9.48665e-55
NP_417776.1,WP_005652371.1,2.64462e-178,7.02208e-178
NP_417777.1,WP_005632756.1,3.4993e-48,9.19852e-48
NP_417778.1,WP_005652369.1,1.31307e-125,3.46915e-125
NP_417779.1,WP_005632753.1,5.00253e-129,1.32193e-128
NP_417780.1,WP_001181005.1,2.26164e-71,6.00517e-71
NP_417799.1,WP_010869011.1,0.0,0.0
NP_417800.1,WP_005626581.1,3.32681e-103,7.69842e-103
NP_417801.1,WP_005543325.1,4.3028e-86,1.14249e-85
NP_417803.1,WP_010869010.1,1.17762e-30,3.12685e-30
NP_417804.1,WP_005694173.1,5.40799e-38,1.41351e-37
NP_417805.4,WP_005694171.1,1.2945e-103,3.16509e-103
NP_417806.1,WP_005694170.1,1.79045e-59,7.7758e-53
NP_417807.1,WP_005694169.1,5.60267e-20,1.5083e-19
NP_417808.1,WP_005694583.1,3.70551e-78,7.26303e-69
NP_417811.1,WP_005694483.1,0.0,0.0
NP_417816.1,WP_005647998.1,1.9907e-124,5.63816e-124
NP_417820.1,WP_005690872.1,3.25989e-14,8.26624e-14
NP_417841.2,WP_005693684.1,2.04073e-07,5.64438e-07
NP_417843.1,WP_005694505.1,0.0,0.0
NP_417844.1,WP_005694158.1,9.50591e-63,2.24359e-62
NP_417845.1,WP_010869007.1,5.41064e-134,1.43026e-133
NP_417846.1,WP_010868957.1,8.66948e-105,2.36819e-104
NP_417848.1,WP_005694088.1,9.77809e-162,1.9435e-154
NP_417850.1,WP_005693728.1,3.34141e-90,9.58283e-90
NP_417855.4,WP_005693721.1,0.0,0.0
NP_417859.1,WP_005654696.1,1.6784e-62,4.38952e-62
NP_417860.2,WP_005693176.1,3.72624e-117,9.92792e-117
NP_417862.1,WP_010869059.1,0.0,0.0
NP_417866.4,WP_010869009.1,0.0,0.0
NP_417872.2,WP_032828380.1,1.02529e-56,2.30045e-51
NP_417873.1,WP_005693730.1,1.25783e-115,3.46224e-115
NP_417875.1,WP_032828409.1,2.13347e-172,3.80237e-171
NP_417883.1,WP_005694604.1,1.43173e-26,3.69598e-26
NP_417886.1,WP_005693999.1,0.0,0.0
NP_417887.1,WP_010869192.1,0.0,0.0
NP_417888.1,WP_164927866.1,3.58436e-173,9.56146e-173
NP_417889.1,WP_005694002.1,0.0,0.0
NP_417890.1,WP_005694003.1,0.0,0.0
NP_417891.1,WP_005694497.1,0.0,0.0
NP_417918.1,WP_005694033.1,1.69828e-151,4.56227e-147
NP_417919.1,WP_005660149.1,1.03369e-95,5.06616e-92
NP_417920.1,WP_005632750.1,1.23155e-98,3.21114e-98
NP_417921.1,WP_032828327.1,1.43341e-163,3.08961e-162
NP_417922.1,WP_005693161.1,7.85054e-69,2.03186e-68
NP_417927.1,WP_010869042.1,7.21079e-32,1.86736e-31
NP_417928.1,WP_005693208.1,2.06224e-88,5.82259e-88
NP_417932.1,WP_005694435.1,1.63515e-08,3.95893e-08
NP_417949.1,WP_005693280.1,1.62428e-163,1.70596e-156
NP_417952.1,WP_005648375.1,1.6456e-71,4.27841e-71
NP_417954.1,WP_005693198.1,1.86822e-101,5.09944e-101
NP_417955.1,WP_010868958.1,0.0,0.0
NP_417956.1,WP_005693720.1,8.07723e-139,2.15235e-138
NP_417957.1,WP_005694117.1,0.0,0.0
NP_417963.4,WP_005693781.1,1.04011e-13,1.25869e-14
NP_417965.1,WP_005654516.1,2.56144e-16,4.24772e-20
NP_417978.2,WP_010869193.1,6.78428e-60,1.73511e-59
NP_417980.1,WP_005660680.1,4.32554e-148,8.8986e-142
NP_417983.2,WP_005693872.1,7.93908e-87,2.14212e-86
NP_417997.1,WP_005691143.1,0.0,0.0
NP_417998.1,WP_005694258.1,0.0,0.0
NP_417999.1,WP_005653671.1,2.9534e-138,2.81429e-118
NP_418000.1,WP_164927863.1,5.48052e-144,1.42945e-143
NP_418001.1,WP_005670186.1,0.0,0.0
NP_418005.1,WP_005694489.1,1.90839e-86,5.01302e-86
NP_418015.1,WP_100066296.1,3.55132e-104,1.64162e-103
NP_418016.1,WP_005693270.1,0.0,0.0
NP_418017.1,WP_005628151.1,0.0,0.0
NP_418021.1,WP_032828343.1,2.14412e-69,2.6181e-60
NP_418022.1,WP_005651773.1,0.0,0.0
NP_418023.1,WP_005693436.1,0.0,5.72343e-179
NP_418024.1,WP_005693435.1,0.0,0.0
NP_418025.1,WP_010869132.1,1.18827e-175,2.63027e-171
NP_418026.1,WP_010869130.1,3.42663e-165,8.98244e-165
NP_418031.1,WP_005647833.1,3.26389e-124,8.05174e-124
NP_418032.1,WP_005693365.1,0.0,0.0
NP_418034.1,WP_005647840.1,2.98606e-30,8.08018e-30
NP_418036.1,WP_005647844.1,1.6957e-136,4.50247e-136
NP_418037.1,WP_010869108.1,0.0,0.0
NP_418038.1,WP_005693359.1,2.01313e-63,4.54666e-65
NP_418039.2,WP_005693360.1,3.76412e-152,9.99461e-152
NP_418040.1,WP_005669745.1,7.28806e-131,1.93515e-130
NP_418047.1,WP_005694594.1,9.0109e-180,2.41208e-179
NP_418048.1,WP_005694593.1,0.0,0.0
NP_418060.1,WP_165442163.1,1.52842e-39,1.93035e-36
NP_418062.1,WP_005693904.1,0.0,0.0
NP_418063.1,WP_005652354.1,1.21894e-92,3.29842e-92
NP_418064.1,WP_005694542.1,4.06113e-144,1.05462e-143
NP_418065.1,WP_005694541.1,3.22887e-168,8.47224e-168
NP_418066.1,WP_005630575.1,2.96194e-64,3.09573e-66
NP_418067.1,WP_005694168.1,1.71828e-18,1.32475e-17
NP_418068.1,WP_005693147.1,1.40088e-50,3.84972e-50
NP_418070.6,WP_005693155.1,1.79526e-83,1.60472e-82
NP_418071.4,WP_010869050.1,1.73524e-60,2.57697e-58
NP_418072.1,WP_005648226.1,5.9387e-18,1.14597e-17
NP_418076.1,WP_005632797.1,0.0,0.0
NP_418077.1,WP_005693429.1,1.31316e-158,3.4667e-158
NP_418079.1,WP_010869079.1,2.50723e-07,2.02373e-08
NP_418083.1,WP_010868968.1,2.97687e-18,2.93054e-16
NP_418085.2,WP_005694187.1,5.00522e-14,1.30679e-13
NP_418089.1,WP_010868969.1,2.51015e-23,6.72314e-23
NP_418090.1,WP_005694491.1,3.81493e-152,1.01772e-151
NP_418091.1,WP_005694492.1,2.85178e-61,7.42927e-61
NP_418092.1,WP_005693293.1,3.94943e-115,1.05646e-114
NP_418093.1,WP_005613503.1,1.21092e-28,3.27373e-28
NP_418094.1,WP_005542826.1,4.72568e-49,1.25478e-48
NP_418095.4,WP_010869094.1,3.26399e-79,8.62761e-79
NP_418096.4,WP_005693302.1,2.11381e-176,5.35137e-169
NP_418097.2,WP_005631431.1,1.3764e-87,3.63062e-87
NP_418098.4,WP_005648000.1,5.0443e-64,1.30739e-60
NP_418099.1,WP_005686697.1,1.30155e-111,3.45591e-111
NP_418101.1,WP_005693694.1,3.4504e-137,8.94635e-132
NP_418103.4,WP_005694300.1,2.32707e-89,1.21607e-82
NP_418105.1,WP_005693898.1,4.88366e-98,1.30299e-97
NP_418106.1,WP_005693900.1,3.60259e-35,1.96725e-32
NP_418107.1,WP_005693901.1,0.0,0.0
NP_418109.1,WP_005693902.1,0.0,0.0
NP_418110.1,WP_005693557.1,9.13528e-142,1.10578e-124
NP_418134.1,WP_005694454.1,2.05059e-11,3.59334e-11
NP_418135.1,WP_005694455.1,4.13789e-20,2.02039e-20
NP_418140.4,WP_005693880.1,0.0,0.0
NP_418152.1,WP_164927873.1,2.00317e-25,1.65623e-28
NP_418155.1,WP_005693333.1,5.02809e-159,1.34255e-158
NP_418156.1,WP_005693335.1,3.09141e-177,3.3052e-179
NP_418157.1,WP_005693336.1,0.0,0.0
NP_418158.1,WP_005539760.1,1.38887e-22,1.02682e-16
NP_418159.1,WP_005647913.1,2.54531e-57,6.75837e-57
NP_418161.1,WP_005693342.1,0.0,0.0
NP_418162.1,WP_005693343.1,0.0,0.0
NP_418182.1,WP_005650601.1,1.34701e-109,2.38073e-114
NP_418183.1,WP_005656744.1,7.1184e-118,1.8664e-117
NP_418185.1,WP_010868986.1,0.0,0.0
NP_418186.1,WP_005694502.1,0.0,0.0
NP_418187.1,WP_005649396.1,6.91735e-54,1.87636e-53
NP_418188.1,WP_005649402.1,0.0,0.0
NP_418189.1,WP_005693686.1,4.64841e-148,1.24286e-147
NP_418190.1,WP_005688698.1,0.0,0.0
NP_418191.1,WP_005642563.1,9.39067e-73,2.49344e-72
NP_418192.1,WP_005629246.1,1.71494e-59,1.06465e-64
NP_418193.1,WP_005652035.1,1.45005e-21,6.49944e-13
NP_418194.1,WP_005629251.1,5.43984e-96,1.07277e-91
NP_418196.1,WP_005652031.1,3.13456e-95,8.16213e-95
NP_418197.1,WP_005694554.1,0.0,0.0
NP_418198.1,WP_005694621.1,1.24818e-52,3.29165e-52
NP_418199.1,WP_005649540.1,3.23816e-71,8.48492e-71
NP_418200.1,WP_005654693.1,1.18811e-155,3.1547e-155
NP_418204.2,WP_005693672.1,1.11746e-61,2.96712e-61
NP_418205.1,WP_005693671.1,0.0,0.0
NP_418206.1,WP_005649437.1,6.58917e-143,1.25816e-143
NP_418207.1,WP_005693669.1,3.54281e-153,9.27986e-153
NP_418208.1,WP_005693668.1,8.46865e-120,3.77964e-111
NP_418209.1,WP_005693667.1,2.31639e-111,6.18783e-111
NP_418210.1,WP_010869070.1,4.61385e-129,1.19413e-128
NP_418213.1,WP_005648303.1,2.09976e-43,5.52557e-43
NP_418214.2,WP_010869133.1,0.0,0.0
NP_418220.1,WP_010869046.1,0.0,0.0
NP_418221.1,WP_005694606.1,2.58804e-101,2.40796e-98
NP_418222.1,WP_005654301.1,0.0,0.0
NP_418227.1,WP_032828332.1,0.0,0.0
NP_418228.2,WP_005693835.1,8.64981e-43,2.25458e-42
NP_418230.1,WP_005648966.1,0.0,0.0
NP_418231.1,WP_005694200.1,2.17445e-140,1.3004e-127
NP_418232.2,WP_005693214.1,1.51985e-14,2.40045e-14
NP_418246.1,WP_005694537.1,9.81806e-88,2.02674e-83
NP_418250.1,WP_005694539.1,0.0,0.0
NP_418251.1,WP_005655473.1,6.86256e-29,5.43642e-25
NP_418254.2,WP_005655521.1,5.37603e-167,1.42746e-166
NP_418256.1,WP_005692390.1,5.78514e-126,1.52062e-125
NP_418258.1,WP_164927876.1,0.0,0.0
NP_418260.1,WP_005651675.1,7.40458e-164,1.95986e-163
NP_418272.1,WP_005694223.1,5.65574e-75,1.46383e-74
NP_418273.1,WP_005694192.1,0.0,0.0
NP_418275.1,WP_010868970.1,3.1399e-138,8.30421e-138
NP_418280.4,WP_010868952.1,4.22023e-11,4.55231e-17
NP_418282.1,WP_005694099.1,1.49841e-122,3.94778e-122
NP_418290.4,WP_032828482.1,6.45658e-64,2.5354e-63
NP_418293.2,WP_032828329.1,9.89827e-56,2.56814e-55
NP_418294.1,WP_005693194.1,8.53205e-51,2.2421e-50
NP_418295.1,WP_005693195.1,1.41337e-38,3.71065e-38
NP_418297.1,WP_005693196.1,4.78992e-59,1.23286e-59
NP_418300.1,WP_005693204.1,0.0,0.0
NP_418301.3,WP_005651790.1,2.31521e-109,6.00105e-109
NP_418302.1,WP_005693127.1,5.44868e-24,9.02549e-20
NP_418306.1,WP_005693212.1,0.0,0.0
NP_418320.2,WP_005661561.1,5.2547e-66,1.36317e-65
NP_418322.1,WP_005656225.1,3.37983e-82,8.32435e-82
NP_418323.1,WP_005694618.1,4.69625e-72,1.23836e-71
NP_418327.1,WP_005693890.1,7.20118e-111,1.86876e-110
NP_418329.1,WP_005693893.1,1.39727e-167,3.85846e-167
NP_418331.1,WP_005649892.1,2.31192e-97,5.98355e-97
NP_418344.3,WP_005693413.1,4.20254e-118,1.16462e-117
NP_418348.1,WP_005693189.1,2.14793e-82,4.82863e-84
NP_418351.1,WP_005664214.1,1.46779e-177,3.90949e-177
NP_418354.1,WP_005661219.1,1.27256e-126,9.2675e-134
NP_418360.1,WP_005694623.1,3.63671e-168,1.32469e-169
NP_418361.1,WP_005655029.1,0.0,0.0
NP_418362.1,WP_005689987.1,4.78872e-141,1.19459e-140
NP_418363.1,WP_005650820.1,4.66431e-17,1.10087e-16
NP_418364.1,WP_005669389.1,7.08909e-77,1.89401e-76
NP_418365.1,WP_010868993.1,8.50445e-99,2.22147e-98
NP_418366.1,WP_010868991.1,0.0,0.0
NP_418367.1,WP_005649427.1,1.91462e-99,5.05488e-99
NP_418368.1,WP_164927874.1,7.31727e-20,8.30882e-18
NP_418370.1,WP_005694336.1,0.0,0.0
NP_418371.1,WP_005625828.1,1.61124e-36,4.2782e-36
NP_418373.1,WP_005631186.1,1.22306e-64,3.2475e-64
NP_418374.1,WP_005661154.1,1.39589e-91,8.15478e-95
NP_418376.1,WP_005652747.1,1.01202e-165,2.65084e-165
NP_418391.1,WP_005693644.1,0.0,0.0
NP_418395.1,WP_005693177.1,0.0,0.0
NP_418396.1,WP_005649559.1,5.62763e-164,1.47467e-163
NP_418398.3,WP_005629669.1,3.58429e-94,8.33765e-94
NP_418400.1,WP_005693197.1,0.0,1.12889e-180
NP_418401.1,WP_005694042.1,6.08961e-15,1.90397e-14
NP_418402.2,WP_010869285.1,9.74745e-92,2.18344e-87
NP_418403.1,WP_005694036.1,4.98812e-151,1.32059e-150
NP_418404.1,WP_032828419.1,8.60232e-61,2.1418e-60
NP_418405.1,WP_005667563.1,3.64317e-146,9.52038e-146
NP_418407.1,WP_005667564.1,0.0,0.0
NP_418409.1,WP_010869041.1,2.63885e-97,7.16159e-97
NP_418410.1,WP_005630840.1,5.08909e-90,1.35127e-89
NP_418411.1,WP_005649467.1,1.73494e-144,4.16144e-135
NP_418412.1,WP_010869025.1,9.74148e-91,2.55523e-90
NP_418413.1,WP_005650892.1,4.28409e-54,3.89545e-52
NP_418414.1,WP_005666423.1,0.0,0.0
NP_418415.1,WP_005693659.1,0.0,0.0
NP_418421.1,WP_005693747.1,1.97258e-18,5.61001e-18
NP_418427.1,WP_005693732.1,3.11762e-80,8.27799e-80
NP_418428.1,WP_005630954.1,3.63047e-47,9.63974e-47
NP_418433.1,WP_005693239.1,0.0,0.0
NP_418434.1,WP_005693238.1,0.0,0.0
NP_418443.1,WP_080003770.1,1.92334e-166,1.54462e-166
NP_418445.1,WP_010869014.1,5.61756e-58,1.41994e-57
NP_418449.1,WP_010869249.1,0.0,0.0
NP_418465.4,WP_005693149.1,0.0,0.0
NP_418466.1,WP_005694338.1,1.82596e-35,4.68937e-35
NP_418467.1,WP_010869048.1,9.0043e-101,2.45003e-100
NP_418473.3,WP_005694659.1,9.00689e-170,2.26676e-169
NP_418476.1,WP_032828363.1,0.0,0.0
NP_418477.1,WP_005693598.1,2.10271e-153,5.59873e-153
NP_418482.1,WP_005694053.1,0.0,0.0
NP_418483.1,WP_005694052.1,2.84353e-61,2.8853e-60
NP_418488.1,WP_005694416.1,0.0,0.0
NP_418494.1,WP_005651712.1,0.0,0.0
NP_418495.2,WP_010869124.1,2.24547e-45,6.8185e-45
NP_418496.1,WP_005647733.1,6.3848e-109,1.71051e-108
NP_418497.1,WP_005693393.1,7.4456e-90,1.98466e-93
NP_418513.4,WP_010868944.1,1.43997e-36,3.72013e-36
NP_418532.1,WP_010868923.1,4.01397e-43,1.037e-42
NP_418553.1,WP_010869153.1,0.0,0.0
NP_418559.1,WP_005693234.1,1.84289e-178,5.01454e-178
NP_418561.1,WP_005655513.1,9.9471e-94,1.50927e-104
NP_418562.4,WP_032828424.1,0.0,0.0
NP_418566.1,WP_005687043.1,7.31202e-57,1.92149e-56
NP_418567.1,WP_010869002.1,0.0,0.0
NP_418570.1,WP_005691796.1,1.9899e-152,5.22185e-152
NP_418571.1,WP_005544066.1,1.2726e-105,3.37906e-105
NP_418575.1,WP_005648338.1,2.31744e-40,5.89479e-40
NP_418576.1,WP_005648336.1,3.8008e-42,1.04772e-41
NP_418577.1,WP_005639269.1,7.98244e-143,2.22376e-142
NP_418578.1,WP_010869064.1,0.0,0.0
NP_418579.2,WP_010869065.1,1.72313e-151,4.54714e-151
NP_418584.1,WP_032828422.1,6.1738e-119,1.47128e-118
NP_418585.4,WP_005694198.1,5.38746e-147,1.41414e-146
NP_418586.4,WP_005694199.1,2.63844e-102,7.04436e-102
NP_418589.1,WP_005693857.1,2.42777e-58,6.65695e-58
NP_418590.1,WP_005693856.1,5.05008e-89,9.4302e-89
NP_418591.1,WP_005693855.1,0.0,0.0
NP_418592.1,WP_005693854.1,5.09835e-164,1.33231e-163
NP_418593.1,WP_005693756.1,7.47862e-49,1.7716e-48
NP_418595.1,WP_005671149.1,2.47116e-146,2.89652e-131
NP_418596.1,WP_005660876.1,9.51221e-124,7.69858e-119
NP_418598.1,WP_010869263.1,0.0,0.0
NP_418600.4,WP_010869073.1,0.0,0.0
NP_418601.1,WP_005655733.1,3.05935e-132,8.22357e-132
NP_418621.5,WP_005627620.1,6.40974e-70,1.62398e-69
NP_418622.1,WP_005694144.1,1.13247e-37,3.12261e-37
NP_418623.1,WP_005598105.1,5.86451e-49,1.55716e-48
NP_418624.1,WP_005649511.1,5.83014e-68,7.75616e-74
NP_418627.4,WP_005694343.1,9.40039e-12,5.07445e-11
NP_418630.1,WP_005694400.1,4.14589e-91,1.11584e-90
NP_418632.1,WP_005693146.1,8.85715e-08,4.48737e-10
NP_418633.4,WP_080003771.1,1.26114e-09,1.64772e-09
NP_418634.1,WP_005694555.1,0.0,0.0
NP_418635.1,WP_164927858.1,2.74573e-44,9.18277e-41
NP_418637.1,WP_010868922.1,3.26263e-50,8.66303e-50
NP_418639.1,WP_010868987.1,1.38556e-164,3.55552e-164
NP_418641.1,WP_010869035.1,2.39408e-166,6.36785e-166
NP_418642.1,WP_005694581.1,0.0,0.0
NP_418647.1,WP_005630160.1,1.47435e-21,3.91473e-21
NP_418653.1,WP_005693654.1,9.94641e-178,2.64895e-177
NP_418654.1,WP_005694412.1,0.0,0.0
NP_418655.1,WP_005651852.1,6.33808e-65,5.1308e-61
NP_418656.1,WP_005693467.1,0.0,0.0
NP_418658.1,WP_005693470.1,1.85611e-78,4.9604e-78
NP_418659.1,WP_005693847.1,0.0,0.0
NP_418664.2,WP_005630808.1,1.58919e-70,4.25264e-70
NP_418675.1,WP_005651072.1,3.86873e-153,1.02724e-152
NP_418676.1,WP_010869036.1,3.24194e-41,3.06517e-40
NP_418679.1,WP_005693970.1,0.0,0.0
NP_418680.1,WP_005693964.1,2.80538e-50,7.29691e-50
NP_418681.1,WP_005694194.1,0.0,0.0
NP_418682.1,WP_010869275.1,2.40728e-119,7.64434e-111
NP_418683.4,WP_005694193.1,6.25975e-133,5.97766e-130
NP_418699.4,WP_005693428.1,1.32819e-36,7.70721e-40
NP_418707.1,WP_005630123.1,6.76778e-41,2.1564e-40
NP_418708.1,WP_005693487.1,7.89621e-37,1.68898e-35
NP_418730.4,WP_032828455.1,3.66563e-109,9.91822e-109
NP_418742.1,WP_010868927.1,0.0,0.0
NP_418744.1,WP_005687499.1,6.92466e-81,1.78142e-80
NP_418769.1,WP_010869173.1,1.97425e-18,5.70784e-18
NP_418779.2,WP_032828439.1,5.19093e-12,1.66219e-11
NP_418784.4,WP_005693811.1,5.8476e-55,1.80134e-54
NP_418788.1,WP_005693888.1,5.33414e-106,1.36266e-105
NP_418789.1,WP_005663309.1,2.54642e-19,6.61328e-19
NP_418790.1,WP_010868917.1,6.00312e-56,1.57243e-55
NP_418792.1,WP_005694221.1,0.0,0.0
NP_418796.1,WP_005694124.1,8.93231e-23,2.16514e-22
NP_418797.1,WP_005694125.1,1.61016e-112,4.25877e-112
NP_418798.1,WP_005693439.1,3.30106e-18,1.44512e-16
NP_418801.1,WP_005694122.1,1.47986e-142,1.79985e-147
NP_418805.1,WP_010869109.1,6.78078e-107,1.75572e-106
NP_418806.1,WP_005693612.1,0.0,0.0
NP_418807.4,WP_012055221.1,3.47148e-142,3.02521e-149
NP_418808.1,WP_005650218.1,0.0,0.0
NP_418809.4,WP_010869063.1,2.36288e-80,5.76817e-80
NP_418810.1,WP_005629736.1,1.5748e-19,6.72682e-17
NP_418818.1,WP_005651417.1,1.00235e-136,2.63911e-136
YP_009518751.1,WP_005694291.1,2.25422e-175,9.04941e-175
YP_009518752.1,WP_005656255.1,1.56971e-09,4.04886e-09
YP_009518822.1,WP_005632808.1,3.39427e-138,5.7154e-132
YP_010051172.1,WP_005694212.1,0.0,0.0
YP_025294.2,WP_005671546.1,0.0,0.0
YP_025300.1,WP_005651797.1,0.0,0.0
YP_025304.1,WP_010869250.1,8.64132e-34,3.07936e-34
YP_025307.1,WP_005693623.1,4.06561e-142,7.99656e-142
YP_025308.1,WP_005693274.1,1.03719e-116,1.85793e-116
YP_026169.1,WP_010868979.1,0.0,0.0
YP_026170.1,WP_032828325.1,0.0,0.0
YP_026171.3,WP_032828395.1,0.0,1.3365e-179
YP_026172.1,WP_005693852.1,2.16463e-178,5.79955e-178
YP_026188.1,WP_010869107.1,0.0,0.0
YP_026202.1,WP_005693202.1,1.5516e-21,2.49737e-22
YP_026210.1,WP_005694485.1,5.75908e-53,4.05162e-54
YP_026211.1,WP_005693325.1,4.78159e-81,5.87315e-86
YP_026215.2,WP_005648746.1,1.87897e-93,5.19097e-93
YP_026216.2,WP_005694166.1,2.11548e-64,5.61708e-64
YP_026217.1,WP_005693351.1,4.07696e-65,1.52399e-63
YP_026220.1,WP_005648561.1,7.69157e-42,1.42072e-41
YP_026232.1,WP_005647842.1,0.0,0.0
YP_026241.1,WP_010869008.1,0.0,0.0
YP_026247.1,WP_005694252.1,9.08703e-29,2.6783e-28
YP_026248.1,WP_005693142.1,0.0,0.0
YP_026251.1,WP_010869028.1,0.0,0.0
YP_026255.1,WP_005693225.1,5.04129e-172,1.27448e-171
YP_026262.1,WP_010869031.1,1.50197e-24,4.01501e-24
YP_026263.3,WP_005693132.1,0.0,0.0
YP_026264.1,WP_011962151.1,1.83204e-44,4.93533e-44
YP_026266.1,WP_005694498.1,2.55248e-49,6.2392e-49
YP_026267.1,WP_005694570.1,2.84245e-75,7.71759e-75
YP_026269.1,WP_005693825.1,2.5004e-07,6.63912e-07
YP_026270.1,WP_005694100.1,2.60191e-28,3.1428e-38
YP_026273.1,WP_005694630.1,1.80715e-168,1.95517e-165
YP_026274.1,WP_005693211.1,0.0,0.0
YP_026280.1,WP_005693731.1,2.83972e-88,7.74547e-88
YP_026291.2,WP_005693839.1,3.46289e-76,9.30126e-76
YP_588467.1,WP_005648813.1,4.26357e-17,1.08491e-16
YP_588472.1,WP_005647910.1,1.12517e-34,3.02274e-34
